Ticker,Date,Open in USD,High in USD,Low in USD,Close in USD,Adj Close in USD,Volume in Billions
BNB,1/1/2019,6.19,7.25,5.49,6.27,6.27,1.32
BNB,2/1/2019,6.26,11.32,6.17,10.37,10.37,2.64
BNB,3/1/2019,10.36,17.57,10.33,17.4,17.4,5.19
BNB,4/1/2019,17.41,25.53,16.59,22.13,22.13,6.67
BNB,5/1/2019,22.13,35.5,18.47,32.75,32.75,12.23
BNB,6/1/2019,32.75,39.57,29.18,32.44,32.44,13.14
BNB,7/1/2019,32.44,34.31,24.9,27.64,27.64,9.42
BNB,8/1/2019,27.62,31.3,21.19,21.27,21.27,6.86
BNB,9/1/2019,21.26,23.54,14.84,15.86,15.86,6.39
BNB,10/1/2019,15.88,20.92,15.19,20,20,6.83
BNB,11/1/2019,19.99,21.64,14.2,15.72,15.72,7
BNB,12/1/2019,15.74,16.08,12.18,13.73,13.73,6.04
BNB,1/1/2020,13.73,18.84,12.99,18.21,18.21,7.2
BNB,2/1/2020,18.2,27.12,17.82,19.58,19.58,11.91
BNB,3/1/2020,19.57,21.7,6.96,12.58,12.58,11.04
BNB,4/1/2020,12.58,18.13,12.06,17.03,17.03,12.59
BNB,5/1/2020,17.05,18.11,14.28,17.04,17.04,10.71
BNB,6/1/2020,17.07,18.16,15.02,15.41,15.41,6.05
BNB,7/1/2020,15.41,20.84,15.25,20.67,20.67,6.22
BNB,8/1/2020,20.67,23.91,19.97,23.19,23.19,7.73
BNB,9/1/2020,23.19,33.49,18.18,29.33,29.33,15.32
BNB,10/1/2020,29.36,31.92,26.43,30.63,30.63,9.61
BNB,10/24/2020,30.52,30.84,30.46,30.73,30.73,0.4
BTC,11/1/2015,315.01,495.56,301,377.32,377.32,2.18
BTC,12/1/2015,377.41,469.1,349.46,430.57,430.57,2.1
BTC,1/1/2016,430.72,462.93,354.91,368.77,368.77,1.99
BTC,2/1/2016,369.35,448.05,367.96,437.7,437.7,1.88
BTC,3/1/2016,437.92,439.65,394.04,416.73,416.73,2.33
BTC,4/1/2016,416.76,467.96,415.83,448.32,448.32,1.81
BTC,5/1/2016,448.48,553.96,437.39,531.39,531.39,2.23
BTC,6/1/2016,531.11,777.99,525.64,673.34,673.34,4.75
BTC,7/1/2016,672.52,704.97,611.83,624.68,624.68,3.45
BTC,8/1/2016,624.6,626.12,531.33,575.47,575.47,2.69
BTC,9/1/2016,575.55,628.82,570.81,609.73,609.73,2
BTC,10/1/2016,609.93,720.4,609.48,700.97,700.97,2.12
BTC,11/1/2016,701.34,756.24,678.16,745.69,745.69,2.64
BTC,12/1/2016,746.05,979.4,746.05,963.74,963.74,3.56
BTC,1/1/2017,963.66,1191.1,755.76,970.4,970.4,5.14
BTC,2/1/2017,970.94,1200.39,946.69,1179.97,1179.97,4.28
BTC,3/1/2017,1180.04,1280.31,903.71,1071.79,1071.79,10.87
BTC,4/1/2017,1071.71,1347.91,1061.09,1347.89,1347.89,9.76
BTC,5/1/2017,1348.3,2763.71,1348.3,2286.41,2286.41,34.26
BTC,6/1/2017,2288.33,2999.91,2212.96,2480.84,2480.84,44.48
BTC,7/1/2017,2492.6,2916.14,1843.03,2875.34,2875.34,32.62
BTC,8/1/2017,2871.3,4736.05,2668.59,4703.39,4703.39,63.55
BTC,9/1/2017,4701.76,4975.04,2946.62,4338.71,4338.71,55.7
BTC,10/1/2017,4341.05,6470.43,4164.05,6468.4,6468.4,58.01
BTC,11/1/2017,6440.97,11517.4,5519.01,10233.6,10233.6,141
BTC,12/1/2017,10198.6,20089,9694.65,14156.4,14156.4,410
BTC,1/1/2018,14112.2,17712.4,9402.29,10221.1,10221.1,416
BTC,2/1/2018,10237.3,11958.5,6048.26,10397.9,10397.9,230
BTC,3/1/2018,10385,11704.1,6683.93,6973.53,6973.53,194
BTC,4/1/2018,7003.06,9745.32,6526.87,9240.55,9240.55,197
BTC,5/1/2018,9251.47,9964.5,7090.68,7494.17,7494.17,198
BTC,6/1/2018,7500.7,7754.89,5826.41,6404,6404,130
BTC,7/1/2018,6411.68,8424.27,6136.42,7780.44,7780.44,141
BTC,8/1/2018,7769.04,7769.04,5971.05,7037.58,7037.58,132
BTC,9/1/2018,7044.81,7388.43,6197.52,6625.56,6625.56,130
BTC,10/1/2018,6619.85,6965.06,6236.47,6317.61,6317.61,118
BTC,11/1/2018,6318.14,6552.16,3585.06,4017.27,4017.27,158
BTC,12/1/2018,4024.46,4309.38,3191.3,3742.7,3742.7,169
BTC,1/1/2019,3746.71,4109.02,3400.82,3457.79,3457.79,167
BTC,2/1/2019,3460.55,4210.64,3391.02,3854.79,3854.79,199
BTC,3/1/2019,3853.76,4296.81,3733.75,4105.4,4105.4,298
BTC,4/1/2019,4105.36,5642.04,4096.9,5350.73,5350.73,445
BTC,5/1/2019,5350.91,9008.31,5347.65,8574.5,8574.5,724
BTC,6/1/2019,8573.84,13796.49,7564.49,10817.16,10817.16,676
BTC,7/1/2019,10796.93,13129.53,9163.13,10085.63,10085.63,676
BTC,8/1/2019,10077.44,12273.82,9421.63,9630.66,9630.66,534
BTC,9/1/2019,9630.59,10898.76,7830.76,8293.87,8293.87,595
BTC,10/1/2019,8299.72,10021.74,7446.99,9199.58,9199.58,595
BTC,11/1/2019,9193.99,9505.05,6617.17,7569.63,7569.63,677
BTC,12/1/2019,7571.62,7743.43,6540.05,7193.6,7193.6,634
BTC,1/1/2020,7194.89,9553.13,6915,9350.53,9350.53,853
BTC,2/1/2020,9346.36,10457.63,8492.93,8599.51,8599.51,1160
BTC,3/1/2020,8599.76,9167.7,4106.98,6438.64,6438.64,1290
BTC,4/1/2020,6437.32,9440.65,6202.37,8658.55,8658.55,1160
BTC,5/1/2020,8672.78,9996.74,8374.32,9461.06,9461.06,1290
BTC,6/1/2020,9463.61,10199.57,8975.53,9137.99,9137.99,651
BTC,7/1/2020,9145.99,11415.86,8977.02,11323.47,11323.47,546
BTC,8/1/2020,11322.57,12359.06,11012.42,11680.82,11680.82,687
BTC,9/1/2020,11679.32,12067.08,9916.49,10787.62,10787.62,894
BTC,10/1/2020,10785.01,13184.57,10440.31,12931.54,12931.54,556
BTC,10/24/2020,12896.59,13145.07,12896.59,13105.74,13105.74,24.8
ETH,11/1/2015,0.92,1.11,0.73,0.87,0.87,0.03
ETH,12/1/2015,0.88,1.05,0.77,0.93,0.93,0.01
ETH,1/1/2016,0.93,2.84,0.93,2.31,2.31,0.1
ETH,2/1/2016,2.32,6.65,2.12,6.34,6.34,0.35
ETH,3/1/2016,6.32,15.26,6.31,11.4,11.4,0.91
ETH,4/1/2016,11.4,11.85,7.06,8.81,8.81,0.5
ETH,5/1/2016,8.78,15.05,8.43,14.08,14.08,0.87
ETH,6/1/2016,14.11,21.52,9.96,12.46,12.46,1.18
ETH,7/1/2016,12.44,14.9,9.58,11.88,11.88,0.85
ETH,8/1/2016,11.89,12.46,8.2,11.67,11.67,0.51
ETH,9/1/2016,11.67,14.43,11.25,13.22,13.22,0.35
ETH,10/1/2016,13.2,13.53,9.56,11,11,0.31
ETH,11/1/2016,10.96,11.25,7.88,8.59,8.59,0.26
ETH,12/1/2016,8.6,8.86,5.98,7.97,7.97,0.39
ETH,1/1/2017,7.98,11.89,7.98,10.73,10.73,0.52
ETH,2/1/2017,10.74,16.06,10.55,15.82,15.82,0.47
ETH,3/1/2017,15.85,55.11,15.56,50.04,50.04,4.32
ETH,4/1/2017,50.03,79.02,40.9,79.02,79.02,3.15
ETH,5/1/2017,79.32,236.96,73.09,230.67,230.67,14.68
ETH,6/1/2017,230.89,414.76,214.48,294.92,294.92,34.41
ETH,7/1/2017,293.35,295.51,133.72,203.87,203.87,31.03
ETH,8/1/2017,204.69,388.75,204.69,383.04,383.04,33.2
ETH,9/1/2017,383.47,390.04,195.04,301.46,301.46,24.31
ETH,10/1/2017,301.55,349.35,277.58,305.88,305.88,13.43
ETH,11/1/2017,305.76,522.31,281.17,447.11,447.11,31.9
ETH,12/1/2017,445.21,881.94,414.41,756.73,756.73,79.86
ETH,1/1/2018,755.76,1432.88,742,1118.31,1118.31,164
ETH,2/1/2018,1119.37,1161.35,574.42,855.2,855.2,83.39
ETH,3/1/2018,856.01,880.3,368.63,396.46,396.46,53.72
ETH,4/1/2018,397.25,708.88,363.8,669.92,669.92,60.67
ETH,5/1/2018,670.46,835.06,512.55,577.65,577.65,81.75
ETH,6/1/2018,578.67,624.51,407.95,455.18,455.18,55.08
ETH,7/1/2018,455.24,513.43,422.81,433.87,433.87,52.4
ETH,8/1/2018,433.87,435.46,254.65,283,283,49.07
ETH,9/1/2018,283.5,301.14,170.26,232.85,232.85,55.2
ETH,10/1/2018,233.22,234.15,188.71,197.38,197.38,44.46
ETH,11/1/2018,197.54,221.65,101.77,113.17,113.17,59.38
ETH,12/1/2018,113.4,157.67,82.83,133.37,133.37,72.33
ETH,1/1/2019,133.42,160.82,103.34,107.06,107.06,85.05
ETH,2/1/2019,107.15,165.55,102.93,136.75,136.75,101
ETH,3/1/2019,136.84,149.61,125.4,141.51,141.51,139
ETH,4/1/2019,141.47,184.38,140.74,162.17,162.17,205
ETH,5/1/2019,162.19,287.2,159.66,268.11,268.11,314
ETH,6/1/2019,268.43,361.4,229.26,290.7,290.7,271
ETH,7/1/2019,290.27,318.22,193.99,218.65,218.65,250
ETH,8/1/2019,218.55,239.12,167.07,172.47,172.47,203
ETH,9/1/2019,172.46,222.87,157.13,179.87,179.87,276
ETH,10/1/2019,180.21,195.94,157.46,183.97,183.97,252
ETH,11/1/2019,183.8,193.55,133.8,152.54,152.54,253
ETH,12/1/2019,152.49,153.16,119.78,129.61,129.61,247
ETH,1/1/2020,129.63,186.26,126.49,180.16,180.16,328
ETH,2/1/2020,180.11,287.12,179.75,219.85,219.85,578
ETH,3/1/2020,219.75,249.98,95.18,133.59,133.59,499
ETH,4/1/2020,133.61,227.53,129.73,207.6,207.6,532
ETH,5/1/2020,207.9,244.05,180.72,230.98,230.98,506
ETH,6/1/2020,230.86,252.22,219.47,226.32,226.32,252
ETH,7/1/2020,226.13,348.61,224.54,345.55,345.55,251
ETH,8/1/2020,345.8,444.58,343.59,435.08,435.08,360
ETH,9/1/2020,434.87,487.21,316.77,360.02,360.02,503
ETH,10/1/2020,360,420.14,335.53,409.77,409.77,284
ETH,10/24/2020,413.12,416.6,408.12,413,413,11.53
LTC,11/1/2015,3.82,5.32,2.94,3.62,3.62,0.14
LTC,12/1/2015,3.63,3.97,3.3,3.48,3.48,0.09
LTC,1/1/2016,3.48,3.64,2.92,3.05,3.05,0.09
LTC,2/1/2016,3.07,3.58,3.04,3.45,3.45,0.05
LTC,3/1/2016,3.45,3.45,3.13,3.26,3.26,0.04
LTC,4/1/2016,3.25,4.23,3.2,3.66,3.66,0.07
LTC,5/1/2016,3.66,4.86,3.64,4.65,4.65,0.1
LTC,6/1/2016,4.65,5.95,3.47,4.19,4.19,0.19
LTC,7/1/2016,4.19,4.66,3.93,4.01,4.01,0.11
LTC,8/1/2016,4.06,4.06,3.52,3.8,3.8,0.08
LTC,9/1/2016,3.8,4.2,3.76,3.84,3.84,0.06
LTC,10/1/2016,3.85,4.23,3.75,3.99,3.99,0.08
LTC,11/1/2016,4,4.18,3.69,3.89,3.89,0.08
LTC,12/1/2016,3.91,4.77,3.33,4.33,4.33,0.16
LTC,1/1/2017,4.33,4.95,3.61,4.08,4.08,0.27
LTC,2/1/2017,4.08,4.13,3.7,3.77,3.77,0.15
LTC,3/1/2017,3.77,7.07,3.73,6.67,6.67,0.49
LTC,4/1/2017,6.65,16.07,6.31,15.71,15.71,2.68
LTC,5/1/2017,15.71,37.33,14.88,25.3,25.3,6.5
LTC,6/1/2017,25.34,53.55,25.3,40.35,40.35,13.6
LTC,7/1/2017,40.4,56.03,35.94,43.02,43.02,10.71
LTC,8/1/2017,43.02,72.28,41.08,71.06,71.06,7.36
LTC,9/1/2017,70.86,92.07,32.03,55.14,55.14,15.97
LTC,10/1/2017,55.14,70.09,48.47,55.75,55.75,4.74
LTC,11/1/2017,55.74,104.61,50.85,88.33,88.33,8.61
LTC,12/1/2017,88,375.29,83.74,232.1,232.1,50.53
LTC,1/1/2018,231.67,323.11,141.01,163.35,163.35,30.09
LTC,2/1/2018,163.68,253.9,105.35,202.9,202.9,27.81
LTC,3/1/2018,203.12,217.76,110.26,116.61,116.61,16.05
LTC,4/1/2018,116.9,165.94,110.52,148.48,148.48,10.93
LTC,5/1/2018,148.34,182.88,110.9,118.07,118.07,12.64
LTC,6/1/2018,118.03,127.37,73.17,81.37,81.37,9.61
LTC,7/1/2018,81.5,93.65,75.31,79.7,79.7,9.13
LTC,8/1/2018,80.39,80.73,51.16,61.93,61.93,7.67
LTC,9/1/2018,61.74,68.98,47.67,61.14,61.14,9.42
LTC,10/1/2018,61.1,61.73,48.32,49.44,49.44,10.21
LTC,11/1/2018,49.56,56.16,27.07,32.06,32.06,13.2
LTC,12/1/2018,32.13,36.56,22.82,30.47,30.47,14.08
LTC,1/1/2019,30.46,40.95,30.13,31.65,31.65,18.36
LTC,2/1/2019,31.72,53.42,31.13,46.24,46.24,31.83
LTC,3/1/2019,46.24,64.11,45.85,60.76,60.76,55.78
LTC,4/1/2019,60.77,97.5,60.41,74.28,74.28,89.1
LTC,5/1/2019,74.3,120.69,72.3,114.54,114.54,127
LTC,6/1/2019,114.47,146.43,99.29,122.25,122.25,137
LTC,7/1/2019,122.11,126.67,77.5,98.51,98.51,111
LTC,8/1/2019,98.57,105.59,62.61,64.58,64.58,87.45
LTC,9/1/2019,64.56,79.66,51.84,56.06,56.06,96.92
LTC,10/1/2019,56.09,61.91,48.5,58.78,58.78,87.31
LTC,11/1/2019,58.75,64.6,42.96,47.48,47.48,96.58
LTC,12/1/2019,47.46,48.3,36.67,41.34,41.34,88.95
LTC,1/1/2020,41.33,69.74,39.45,67.88,67.88,118
LTC,2/1/2020,67.91,83.69,57.8,58.54,58.54,159
LTC,3/1/2020,58.53,63.77,25.57,39.3,39.3,124
LTC,4/1/2020,39.28,50.92,37.45,46.71,46.71,125
LTC,5/1/2020,46.71,50.04,40.14,45.59,45.59,121
LTC,6/1/2020,45.57,49.76,40.75,41.47,41.47,59.04
LTC,7/1/2020,41.43,58.74,40.66,58,58,56.14
LTC,8/1/2020,58,68.52,52.32,61.11,61.11,79.02
LTC,9/1/2020,61.11,64.18,42.54,46.28,46.28,51.45
LTC,10/1/2020,46.23,56.67,44.02,55.24,55.24,49.76
LTC,10/24/2020,56.28,59.1,54.81,58.68,58.68,3.71
USDT,11/1/2015,1,1,1,1,1,0
USDT,12/1/2015,1,1,1,1,1,0
USDT,1/1/2016,1,1,1,1,1,0
USDT,2/1/2016,1,1,1,1,1,0
USDT,3/1/2016,1,1,1,1,1,0.01
USDT,4/1/2016,1,1,1,1,1,0.01
USDT,5/1/2016,1,1.01,1,1,1,0.02
USDT,6/1/2016,1,1,1,1,1,0.05
USDT,7/1/2016,1,1,1,1,1,0.03
USDT,8/1/2016,1,1,0.96,1,1,0.05
USDT,9/1/2016,1,1,1,1,1,0.03
USDT,10/1/2016,1,1,1,1,1,0.02
USDT,11/1/2016,1,1,1,1,1,0.03
USDT,12/1/2016,1,1,1,1,1,0.03
USDT,1/1/2017,1,1,1,1,1,0.11
USDT,2/1/2017,1,1,0.85,1,1,0.09
USDT,3/1/2017,1,1,1,1,1,0.63
USDT,4/1/2017,1,1,0.91,0.94,0.94,0.63
USDT,5/1/2017,0.94,1.21,0.92,1.04,1.04,2.08
USDT,6/1/2017,1.04,1.09,0.95,1.01,1.01,3.09
USDT,7/1/2017,1.01,1.04,0.97,1,1,3.69
USDT,8/1/2017,1,1.04,0.96,1,1,4.44
USDT,9/1/2017,1,1.05,0.97,1,1,6.28
USDT,10/1/2017,1,1.02,0.98,1,1,5.57
USDT,11/1/2017,1,1.11,0.96,1.01,1.01,18.72
USDT,12/1/2017,1.01,1.09,0.96,1.01,1.01,62.32
USDT,1/1/2018,1.01,1.07,0.97,0.99,0.99,94.13
USDT,2/1/2018,0.99,1.05,0.93,1,1,82.12
USDT,3/1/2018,1,1.02,0.98,1,1,69.47
USDT,4/1/2018,1,1.02,0.98,1,1,82.82
USDT,5/1/2018,1,1.02,0.98,1,1,99.84
USDT,6/1/2018,1,1.03,0.97,1,1,78.85
USDT,7/1/2018,1,1.01,0.98,1,1,88.49
USDT,8/1/2018,1,1.03,0.98,1,1,87.85
USDT,9/1/2018,1,1.03,0.96,1,1,88.89
USDT,10/1/2018,1,1.02,0.93,0.99,0.99,75.25
USDT,11/1/2018,0.99,1.02,0.95,0.99,0.99,107.11
USDT,12/1/2018,0.99,1.05,0.98,1.01,1.01,122.91
USDT,1/1/2019,1.02,1.05,1,1.01,1.01,122.44
USDT,2/1/2019,1,1.05,0.99,1.01,1.01,169.68
USDT,3/1/2019,1.01,1.05,0.99,1,1,263.04
USDT,4/1/2019,1,1.04,0.97,1.01,1.01,427.87
USDT,5/1/2019,1.01,1.03,0.98,1,1,676.93
USDT,6/1/2019,1,1.02,0.97,0.99,0.99,659.66
USDT,7/1/2019,0.99,1.02,0.98,1,1,698.52
USDT,8/1/2019,1,1.02,0.99,1,1,563.29
USDT,9/1/2019,1,1.06,0.99,1,1,707.15
USDT,10/1/2019,1,1.04,0.97,1.01,1.01,726.65
USDT,11/1/2019,1.01,1.03,0.98,1,1,753.7
USDT,12/1/2019,1,1.04,0.98,1,1,728.72
USDT,1/1/2020,1,1.03,0.99,1,1,1074.15
USDT,2/1/2020,1,1.03,0.99,1.01,1.01,1477.36
USDT,3/1/2020,1.01,1.08,0.9,1,1,1642.54
USDT,4/1/2020,1,1.02,0.97,1.01,1.01,1512.56
USDT,5/1/2020,1,1.06,0.97,1,1,1543.04
USDT,6/1/2020,1,1.04,0.99,1,1,779.03
USDT,7/1/2020,1,1.02,0.99,1,1,720.59
USDT,8/1/2020,1,1.06,0.99,1,1,1083.1
USDT,9/1/2020,1,1.03,0.99,1,1,1388.52
USDT,10/1/2020,1,1.01,0.99,1,1,908.85
XRP,11/1/2015,0,0.01,0,0,0,0.01
XRP,12/1/2015,0,0.01,0,0.01,0.01,0.04
XRP,1/1/2016,0.01,0.01,0.01,0.01,0.01,0.02
XRP,2/1/2016,0.01,0.01,0.01,0.01,0.01,0.03
XRP,3/1/2016,0.01,0.01,0.01,0.01,0.01,0.02
XRP,4/1/2016,0.01,0.01,0.01,0.01,0.01,0.02
XRP,5/1/2016,0.01,0.01,0.01,0.01,0.01,0.02
XRP,6/1/2016,0.01,0.01,0.01,0.01,0.01,0.06
XRP,7/1/2016,0.01,0.01,0.01,0.01,0.01,0.02
XRP,8/1/2016,0.01,0.01,0.01,0.01,0.01,0.03
XRP,9/1/2016,0.01,0.01,0.01,0.01,0.01,0.1
XRP,10/1/2016,0.01,0.01,0.01,0.01,0.01,0.09
XRP,11/1/2016,0.01,0.01,0.01,0.01,0.01,0.06
XRP,12/1/2016,0.01,0.01,0.01,0.01,0.01,0.06
XRP,1/1/2017,0.01,0.01,0.01,0.01,0.01,0.04
XRP,2/1/2017,0.01,0.01,0.01,0.01,0.01,0.02
XRP,3/1/2017,0.01,0.02,0.01,0.02,0.02,0.22
XRP,4/1/2017,0.02,0.07,0.02,0.05,0.05,1.11
XRP,5/1/2017,0.05,0.44,0.05,0.25,0.25,5.79
XRP,6/1/2017,0.24,0.34,0.24,0.26,0.26,6.26
XRP,7/1/2017,0.26,0.26,0.12,0.17,0.17,3.8
XRP,8/1/2017,0.17,0.3,0.15,0.26,0.26,9.02
XRP,9/1/2017,0.26,0.26,0.15,0.2,0.2,3.69
XRP,10/1/2017,0.2,0.29,0.19,0.2,0.2,6.81
XRP,11/1/2017,0.2,0.3,0.18,0.25,0.25,7.05
XRP,12/1/2017,0.25,2.85,0.22,2.3,2.3,60.43
XRP,1/1/2018,2.3,3.84,0.9,1.16,1.16,105.6
XRP,2/1/2018,1.16,1.3,0.59,0.9,0.9,36.94
XRP,3/1/2018,0.9,1.08,0.48,0.51,0.51,17.45
XRP,4/1/2018,0.51,0.97,0.47,0.84,0.84,22.23
XRP,5/1/2018,0.84,0.93,0.55,0.61,0.61,14.5
XRP,6/1/2018,0.61,0.7,0.43,0.47,0.47,8.66
XRP,7/1/2018,0.47,0.52,0.43,0.44,0.44,7.48
XRP,8/1/2018,0.44,0.46,0.25,0.34,0.34,8.37
XRP,9/1/2018,0.34,0.77,0.26,0.58,0.58,22.44
XRP,10/1/2018,0.58,0.6,0.38,0.45,0.45,15.46
XRP,11/1/2018,0.45,0.56,0.32,0.36,0.36,21.37
XRP,12/1/2018,0.36,0.45,0.28,0.35,0.35,17.99
XRP,1/1/2019,0.35,0.38,0.29,0.31,0.31,14.66
XRP,2/1/2019,0.31,0.34,0.29,0.32,0.32,16.99
XRP,3/1/2019,0.32,0.33,0.3,0.31,0.31,21.93
XRP,4/1/2019,0.31,0.37,0.29,0.31,0.31,37.52
XRP,5/1/2019,0.31,0.47,0.29,0.44,0.44,66.59
XRP,6/1/2019,0.44,0.51,0.38,0.4,0.4,55.47
XRP,7/1/2019,0.4,0.42,0.29,0.32,0.32,42.21
XRP,8/1/2019,0.32,0.33,0.25,0.26,0.26,32.79
XRP,9/1/2019,0.26,0.32,0.23,0.26,0.26,47.71
XRP,10/1/2019,0.26,0.31,0.24,0.3,0.3,51.23
XRP,11/1/2019,0.3,0.31,0.21,0.23,0.23,54.96
XRP,12/1/2019,0.23,0.23,0.18,0.19,0.19,40.32
XRP,1/1/2020,0.19,0.25,0.19,0.24,0.24,54.59
XRP,2/1/2020,0.24,0.34,0.23,0.23,0.23,87.19
XRP,3/1/2020,0.23,0.25,0.12,0.17,0.17,75.87
XRP,4/1/2020,0.17,0.24,0.17,0.21,0.21,63.58
XRP,5/1/2020,0.21,0.23,0.19,0.2,0.2,61.96
XRP,6/1/2020,0.2,0.21,0.17,0.18,0.18,35.58
XRP,7/1/2020,0.18,0.26,0.17,0.26,0.26,38.63
XRP,8/1/2020,0.26,0.32,0.26,0.28,0.28,63.04
XRP,9/1/2020,0.28,0.3,0.22,0.24,0.24,42.01
XRP,10/1/2020,0.24,0.26,0.23,0.25,0.25,43.16
